# name	repo	upstream_path	branch	pinned_sha
swiftui-expert-skill	AvdLee/SwiftUI-Agent-Skill	skills/swiftui-expert-skill	main	00a94e15f30397a4c79b6dee78327f87f828d75e
swift-concurrency	AvdLee/Swift-Concurrency-Agent-Skill	swift-concurrency	main	d5770817d2622e1585b1f7eaebc791a9cb0959c8
core-data-expert	AvdLee/Core-Data-Agent-Skill	core-data-expert	main	855ca7d0df50e82b00c12881dd9cd23c19ef5f49
swift-testing-expert	AvdLee/Swift-Testing-Agent-Skill	swift-testing-expert	main	798e9b1a2bcac164d4f0c781908199e754f0bab6
emilkowalski-skills	emilkowalski/skills	skills	main	d23d7f88a2e21c9e4b1418c7abe420f5c1052ba7
xcode-build-optimization	AvdLee/Xcode-Build-Optimization-Agent-Skill	skills	main	6bd7b596cd688b1127ded00e812b1b6937ec35d6
xcode-disk-cleanup	AvdLee/Xcode-Disk-Cleanup-Agent-Skill	xcode-disk-cleanup	main	304e86e619ac49cb12cb69969a0588400b17d64f
